問題上,問題中,問題下,解答,識別文字,識別番号
出来事が,怒濤,のように押し寄せる。,どとう,怒濤どとう,3127
判決を下すための判例を,遡及,する。,そきゅう,遡及そきゅう,3128
,形骸,となっているルールを見直す。,けいがい,形骸けいがい,3129
,不遜,な態度に腹を立てる。,ふそん,不遜ふそん,3130
異国な,鄭声,を忌避する。,ていせい,鄭声ていせい,3131
,拳固,を突き上げ勝利に酔う。,げんこ,拳固げんこ,3132
昔あそこに,阿片窟,があった。,あへんくつ,阿片窟あへんくつ,3133
,爾後,を何事もなく過ごす。,じご,爾後じご,3134
,巽与,の言、能く説ぶこと無からんか。,そんよ,巽与そんよ,3135
革の,靱性,を確かめる。,じんせい,靱性じんせい,3136
彼の,弄舌,ぶりには閉口する。,ろうぜつ,弄舌ろうぜつ,3137
,厭悪,の情をあからさまに見せる。,えんお,厭悪えんお,3138
正月に神社に,参詣,した。,さんけい,参詣さんけい,3139
城の,尖塔,に幽閉されている。,せんとう,尖塔せんとう,3140
,煎餅,を焼く香ばしい匂いが漂う。,せんべい,煎餅せんべい,3141
好きな作家の作品を,玩読,する。,がんどく,玩読がんどく,3142
社長の,宥恕,に感謝する。,ゆうじょ,宥恕ゆうじょ,3143
先生の,恩誼,に報いる。,おんぎ,恩誼おんぎ,3144
清らかな湧き水を,掬飲,する。,きくいん,掬飲きくいん,3145
盗賊団の,魁首,となる。,かいしゅ,魁首かいしゅ,3146
いよいよ,蓋棺,のときを迎える。,がいかん,蓋棺がいかん,3147
北極の,白狐,を見る。,びゃっこ,白狐びゃっこ,3148
畑に,堆肥,を撒く。,たいひ,堆肥たいひ,3149
草木の,枯凋,を悲しむ。,こちょう,枯凋こちょう,3150
理由は,屢述,の通りである。,るじゅつ,屢述るじゅつ,3175
,乃父,としてお前に伝えておきたい。,だいふ,乃父だいふ,3176
,鶏肋,の処分に悩む。,けいろく,鶏肋けいろく,3177
得も言われぬ,芳馨,に満ちている。,ほうけい,芳馨ほうけい,3178
,薙髪,して仏門に入った。,ちはつ,薙髪ちはつ,3179
境内に立派な,老杉,が立ち並ぶ。,ろうさん,老杉ろうさん,3180
遺体にすがって,哀咽,する。,あいえつ,哀咽あいえつ,3181
戦時中、空襲を受けた,工廠,だ。,こうしょう,工廠こうしょう,3182
,或問,形式で書かれた入門書だ。,わくもん,或問わくもん,3183
庚寅の年に,大火,があった。,たいか,大火たいか,3184
当世の,俊彦,なりと評価する。,しゅんげん,俊彦しゅんげん,3185
村の周囲に山々が,聯亙,する。,れんこう,聯亙れんこう,3186
役員名簿を,劉覧,する。,りゅうらん,劉覧りゅうらん,3187
,夙昔,の願いがようやく叶った。,しゅくせき,夙昔しゅくせき,3188
社長の,叡断,を仰ぐ。,えいだん,叡断えいだん,3189
花瓶を,鄭重,に扱う。,ていちょう,鄭重ていちょう,3190
,碩徳,として礼拝されている。,せきとく,碩徳せきとく,3191
趣味に没頭し,戊夜,に至った。,ぼや,戊夜ぼや,3192
,遁辞,を弄しても無駄だ。,とんじ,遁辞とんじ,3193
,山砦,に立て籠って戦った。,さんさい,山砦さんさい,3194
君子は,庖厨,を遠ざく。,ほうちゅう,庖厨ほうちゅう,3195
数回,叩扉,したが返事がなかった。,こうひ,叩扉こうひ,3196
,献芹,の誠を尽くす。,けんきん,献芹けんきん,3197
軒下に提灯を,懸吊,する。,けんちょう,懸吊けんちょう,3198
二頭の,牝馬,が誕生した。,ひんば,牝馬ひんば,3199
夏草が,茸茸,としている。,じょうじょう,茸茸じょうじょう,3200
石臼の,碓声,が響き渡る。,たいせい,碓声たいせい,3201
,老鶯,は夏の季語である。,ろうおう,老鶯ろうおう,3202
寺に三日間,参籠,する。,さんろう,参籠さんろう,3203
調味料が舌を,刺戟,する。,しげき,刺戟しげき,3204
,老爺,に郷土の歴史を尋ねる。,ろうや,老爺ろうや,3877
事件の,凄惨,さは報道からも推測できる。,せいさん,凄惨せいさん,3878
,爾後,、先方からの連絡はない。,じご,爾後じご,3879
最果ての,祁寒,の地で暮らす。,きかん,祁寒きかん,3880
,蔚蔚,たる木々が生い茂る。,うつうつ,蔚蔚うつうつ,3881
,赫灼,たる太陽が容赦なく照りつける。,かくしゃく,赫灼かくしゃく,3882
,釜竃,を使って炊いた飯は格別だ。,ふそう,釜竃ふそう,3883
球界史に,燦然,と輝く記録を残す。,さんぜん,燦然さんぜん,3884
体格の違いで,牝牡,を見分ける。,ひんぼ,牝牡ひんぼ,3885
,甜菜,の根の搾り汁で砂糖を作る。,てんさい,甜菜てんさい,3886
,䇮苒,と無為な日々を送る。,じんぜん,䇮苒じんぜん,3887
僧侶が,錫杖,を手に歩き出した。,しゃくじょう,錫杖しゃくじょう,3888
妃に対して,拝揖,する。,はいゆう,拝揖はいゆう,3889
事実の,歪曲,して報道する。,わいきょく,歪曲わいきょく,3890
課長はすべての部下を,掌握,している。,しょうあく,掌握しょうあく,3891
種々の言説が,喧伝,されている。,けんでん,喧伝けんでん,3892
学者が誌上で,鼎談,する。,ていだん,鼎談ていだん,3893
政治不信を,払拭,する。,ふっしょく,払拭ふっしょく,3894
,烏鷺,の戦いを好む。,うろ,烏鷺うろ,3895
人々が時代に,玩弄,される。,がんろう,玩弄がんろう,3896
海岸近くに,頁岩,が堆積している。,けつがん,頁岩けつがん,4012
作業場から,砧声,がもれ響く。,ちんせい,砧声ちんせい,4013
特命が下り大臣を,輔弼,する。,ほひつ,輔弼ほひつ,4014
建物が,櫛比,する町並みを歩く。,しっぴ,櫛比しっぴ,4015
,汀渚,で鳥たちがえさをついばむ。,ていしょ,汀渚ていしょ,4016
孫娘の,上巳,の節句を盛大に祝う。,じょうし,上巳じょうし,4017
長い間に,馴致,された習慣は消せない。,じゅんち,馴致じゅんち,4018
郷土の,稗史,を楽しみながら読む。,はいし,稗史はいし,4019
幼君には,儲君,としての使命がある。,ちょくん,儲君ちょくん,4020
脚本の,草藁,があがってきた。,そうこう,草藁そうこう,4021
格式高い神社で,禰宜,を務める。,ねぎ,禰宜ねぎ,4022
,弓箭,の道を極めようとする。,きゅうせん,弓箭きゅうせん,4023
修験者が、被っていた,兜巾,を外した。,ときん,兜巾ときん,4024
鶴,九皐,に鳴き声天に聞こゆ。,きゅうこう,九皐きゅうこう,4025
聖書をいつも,枕頭,に置いている。,ちんとう,枕頭ちんとう,4026
旧道の脇に,庚申,塚がある。,こうしん,庚申こうしん,4027
我,樗材,なるも日々研鑽を積む。,ちょざい,樗材ちょざい,4028
腕が立つ,杏林,として名高い。,きょうりん,杏林きょうりん,4029
田んぼ一面に,禾穂,が実る。,かすい,禾穂かすい,4030
彼の過ちを,宥恕,することにした。,ゆうじょ,宥恕ゆうじょ,4031
,繭紬,の紋付を着る。,けんちゅう,繭紬けんちゅう,4147
,病竃,を摘出する。,びょうそう,病竃びょうそう,4148
戦争を,厭忌,する。,えんき,厭忌えんき,4149
国民の,輿望,を担う。,よぼう,輿望よぼう,4150
独断を,諫止,する。,かんし,諫止かんし,4151
,坤軸,を揺るがす地震。,こんじく,坤軸こんじく,4152
,垂簾,の政を行う。,すいれん,垂簾すいれん,4153
,綾子,の被布を羽織る。,りんず,綾子りんず,4154
,肇国,の祖を祭る。,ちょうこく,肇国ちょうこく,4155
,相好,を崩す。,そうごう,相好そうごう,4156
隣国同士が,輯睦,する。,しゅうぼく,輯睦しゅうぼく,4157
,舛誤,が見当たらない。,せんご,舛誤せんご,4158
御,落胤,が出家する。,らくいん,落胤らくいん,4159
,空隙,を埋める。,くうげき,空隙くうげき,4160
,湛湛,と水をたたえる。,たんたん,湛湛たんたん,4161
,紬紡糸,で織り上げる。,ちゅうぼうし,紬紡糸ちゅうぼうし,4162
,橘中,の楽しみ。,きっちゅう,橘中きっちゅう,4163
,云々,すべきではない。,うんぬん,云々うんぬん,4164
,亮然,たる差が開く。,りょうぜん,亮然りょうぜん,4165
,君寵,に浴する。,くんちょう,君寵くんちょう,4166
,負笈,して立身する。,ふきゅう,負笈ふきゅう,4167
,檜垣,で敷地を囲う。,ひがき,檜垣ひがき,4168
,妾宅,を構える。,しょうたく,妾宅しょうたく,4169
,輪輿,の職人を雇う。,りんよ,輪輿りんよ,4170
,柴荊,で隠遁する。,さいけい,柴荊さいけい,4171
草木が,萌動,する。,ほうどう,萌動ほうどう,4172
空気を,吞吐,する。,どんと,吞吐どんと,4173
,藍綬,褒章を授与する。,らんじゅ,藍綬らんじゅ,4174
,鎮咳,薬を処方する。,ちんがい,鎮咳ちんがい,4175
,残蟬,の声が響く。,ざんせん,残蟬ざんせん,4176
,蓬萊,に憧憬する。,ほうらい,蓬萊ほうらい,4177
,醱墨,の技法を用いる。,はつぼく,醱墨はつぼく,4178
,宏壮,な屋敷に住む。,こうそう,宏壮こうそう,4179
敵将を,籠絡,する。,ろうらく,籠絡ろうらく,4180
,芙蓉,の顔、柳の眉。,ふよう,芙蓉ふよう,4181
,瓦石,同然の偽物だ。,がせき,瓦石がせき,4182
足先が,壊死,する。,えし,壊死えし,4183
料理を,註文,する。,ちゅうもん,註文ちゅうもん,4184
,杢怪,の幸い。,もっけ,杢怪もっけ,4185
,剃度,の儀式を行う。,ていど,剃度ていど,4186
,醇乎,たる精神を保つ。,じゅんこ,醇乎じゅんこ,4187
顔色を,勃如,と変える。,ぼつじょ,勃如ぼつじょ,4188
,佑宰,に相談する。,ゆうさい,佑宰ゆうさい,4189
,蟬吟,が騒々しい。,せんぎん,蟬吟せんぎん,4190
,埴生,の宿に泊まる。,はにゅう,埴生はにゅう,4191
,恩賜,公園が開園する。,おんし,恩賜おんし,4192
,木犀,の花が匂う。,もくせい,木犀もくせい,4193
今年の干支は,丙寅,だ。,へいいん,丙寅へいいん,4194
世を捨て,巌栖,する。,がんせい,巌栖がんせい,4195
旅先で,饗応,を受ける。,きょうおう,饗応きょうおう,4196
来年は,辛巳,にあたる。,しんし,辛巳しんし,4197
,腫物,に触る様に扱う。,しゅもつ,腫物しゅもつ,4198
,斧正,を請う。,ふせい,斧正ふせい,4199
,砕屑,が散乱している。,さいせつ,砕屑さいせつ,4200
,塵垢,にまみれる。,じんこう,塵垢じんこう,4201
,妖艶,な姿を披露する。,ようえん,妖艶ようえん,4202
広く学問を,貫穿,する。,かんせん,貫穿かんせん,4203
双方は,劃然,と異なる。,かくぜん,劃然かくぜん,4204
,蛙声,が騒がしい。,あせい,蛙声あせい,4205
,賜餐,の栄に浴する。,しさん,賜餐しさん,4206
,雛妓,に芸を仕込む。,すうぎ,雛妓すうぎ,4207
特産品を,蒐荷,する。,しゅうか,蒐荷しゅうか,4208
,己丑,の年に逝去する。,きちゅう,己丑きちゅう,4209
,簾政,を布く。,れんせい,簾政れんせい,4210
,斯道,の大家となる。,しどう,斯道しどう,4211
,城柵,を巡らす。,じょうさく,城柵じょうさく,4212
鷹を,馴服,させる。,じゅんぷく,馴服じゅんぷく,4213
男児を,分娩,する。,ぶんべん,分娩ぶんべん,4214
,寒垢離,を取る。,かんごり,寒垢離かんごり,4215
,碧梧,が生い茂る。,へきご,碧梧へきご,4216
,矩形,に成型加工する。,くけい,矩形くけい,4217
次の,丁卯,で還暦だ。,ていぼう,丁卯ていぼう,4218
,自然薯,を掘り起こす。,じねんじょ,自然薯じねんじょ,4219
,宏図,を実行に移す。,こうと,宏図こうと,4220
,諒闇,で祝儀を控える。,りょうあん,諒闇りょうあん,4221
,魁梧,たる力士を破る。,かいご,魁梧かいご,4222
,註疏,を加える。,ちゅうそ,註疏ちゅうそ,4223
,胡座,して思索に耽る。,こざ,胡座こざ,4224
,亮闇,が開ける。,りょうあん,亮闇りょうあん,4225
湖畔を,周匝,する。,しゅうそう,周匝しゅうそう,4226
,貴賤,を問わない。,きせん,貴賤きせん,4227
,瓶酒,を岳父に贈る。,へいしゅ,瓶酒へいしゅ,4228
,劫火,に包まれる。,ごうか,劫火ごうか,4229
,激昂,して退席する。,げきこう,激昂げきこう,4230
原則に,背馳,する。,はいち,背馳はいち,4231
地図に,卯酉,線を描く。,ぼうゆう,卯酉ぼうゆう,4232
,迅瀬,を小舟で下る。,じんらい,迅瀬じんらい,4233
渓間に,灘声,が響く。,だんせい,灘声だんせい,4234
,姦詐,を見抜く。,かんさ,姦詐かんさ,4235
,藪林,が生い茂る。,そうりん,藪林そうりん,4236
娘の早世を,歎,ずる。,たん,歎たん,4237
十分な,戎器,を備える。,じゅうき,戎器じゅうき,4238
,紫檀,の家具を設える。,したん,紫檀したん,4239
仏像に,腕釧,を飾る。,わんせん,腕釧わんせん,4240
,貨賂,を受け取る。,かろ,貨賂かろ,4241
文化が,凋零,する。,ちょうれい,凋零ちょうれい,4242
篤志家が,賑救,する。,しんきゅう,賑救しんきゅう,4243
,唾壺,に唾を吐く。,だこ,唾壺だこ,4244
導線を,盤陀,付けする。,はんだ,盤陀はんだ,4245
政局の,趨向,に従う。,すうこう,趨向すうこう,4246
,哀憐,の情が湧く。,あいれん,哀憐あいれん,4247
,筆絢,に親しむ。,ひっけん,筆絢ひっけん,4248
万事,亨通,する。,こうつう,亨通こうつう,4249
,鬱乎,たる森林が続く。,うっこ,鬱乎うっこ,4250
,晴嵐,が吹き荒れる。,せいらん,晴嵐せいらん,4251
敗戦が,旦夕,に迫る。,たんせき,旦夕たんせき,4252
,柴門,を閉める。,さいもん,柴門さいもん,4253
,王胤,が元服する。,おういん,王胤おういん,4254
,瓶子,で酒を杯に注ぐ。,へいじ,瓶子へいじ,4255
,分水嶺,に立つ。,ぶんすいれい,分水嶺ぶんすいれい,4256
,敦厚,な人柄を慕う。,とんこう,敦厚とんこう,4257
文献の,錯謬,に気付く。,さくびゅう,錯謬さくびゅう,4258
公表内容を,塡足,する。,てんそく,塡足てんそく,4259
,叢書,を熟読玩味する。,そうしょ,叢書そうしょ,4260
,丞相,に任命される。,じょうしょう,丞相じょうしょう,4261
,寧馨児,ともてはやす。,ねいけいじ,寧馨児ねいけいじ,4262
境内で,神鹿,を飼う。,しんろく,神鹿しんろく,4263
到着を,鶴首,して待つ。,かくしゅ,鶴首かくしゅ,4264
,光耀,を発する。,こうよう,光耀こうよう,4265
,辺佑,で静かに暮らす。,へんゆう,辺佑へんゆう,4266
綱紀が,弛廃,する。,しはい,弛廃しはい,4267
魔除けの札を,貼,する。,ちょう,貼ちょう,4268
,林藪,に分け入る。,りんそう,林藪りんそう,4269
,鉄杵,を磨く。,てっしょ,鉄杵てっしょ,4270
重機が,轟音,を立てる。,ごうおん,轟音ごうおん,4271
,蕃境,に踏み入れる。,ばんきょう,蕃境ばんきょう,4272
山は,嵐気,に包まれた。,らんき,嵐気らんき,4273
,聯珠,に興じる。,れんじゅ,聯珠れんじゅ,4274
屋根を,補葺,する。,ほしゅう,補葺ほしゅう,4275
,潟湖,を干拓する。,せきこ,潟湖せきこ,4276
,禾本,科に属する。,かほん,禾本かほん,4277
,狼戻,の心を抱く。,ろうれい,狼戻ろうれい,4278
,端坐,して黙想する。,たんざ,端坐たんざ,4279
,翠雨,が降り注ぐ。,すいう,翠雨すいう,4280
孤児に,憐情,を覚える。,れんじょう,憐情れんじょう,4281
,射幸心,を煽る。,しゃこうしん,射幸心しゃこうしん,4282
,劫末,が近づく。,ごうまつ,劫末ごうまつ,4283
妻の早世に,浩歎,する。,こうたん,浩歎こうたん,4284
前言を,幡然,と改める。,はんぜん,幡然はんぜん,4285
,巌頭,に立って眺める。,がんとう,巌頭がんとう,4286
,水団,をすする。,すいとん,水団すいとん,4287
敵の,臣妾,となる。,しんしょう,臣妾しんしょう,4288
街灯が,晃晃,と輝く。,こうこう,晃晃こうこう,4289
旧友と,鷗盟,を結ぶ。,おうめい,鷗盟おうめい,4290
,諸彦,に告ぐ。,しょげん,諸彦しょげん,4291
旧套を,簸却,する。,はきゃく,簸却はきゃく,4292
豪族同士が,逐鹿,する。,ちくろく,逐鹿ちくろく,4293
,鷹準,が大空に舞う。,ようじゅん,鷹準ようじゅん,4294
詩集を,梓行,する。,しこう,梓行しこう,4295
学友と,款語,する。,かんご,款語かんご,4296
,老妓,の円熟した芸だ。,ろうぎ,老妓ろうぎ,4297
,嘉猷,を進言する。,かゆう,嘉猷かゆう,4298
一時的に,瀦滞,する。,ちょたい,瀦滞ちょたい,4299
鼠盗を,掃滅,する。,そうめつ,掃滅そうめつ,4300
老僧が,寂滅,する。,じゃくめつ,寂滅じゃくめつ,4301
,柏槙,が林立する。,びゃくしん,柏槙びゃくしん,4302
,気焰,を吐く。,きえん,気焰きえん,4303
,孝悌,は仁を為すの本。,こうてい,孝悌こうてい,4304
,怯夫,のらく印を押す。,きょうふ,怯夫きょうふ,4305
藩主の,芝眉,を拝する。,しび,芝眉しび,4306
リンパ節が,腫脹,する。,しゅちょう,腫脹しゅちょう,4307
,皇儲,が外遊する。,こうちょ,皇儲こうちょ,4308
,蠟涙,が流れ落ちる。,ろうるい,蠟涙ろうるい,4309
,談藪,を熟読玩味する。,だんそう,談藪だんそう,4310
,穎悟,と評される。,えいご,穎悟えいご,4311
,泥裏,に土塊を洗う。,でいり,泥裏でいり,4312
,鹿柴,をめぐらす。,ろくさい,鹿柴ろくさい,4313
,熟柿,を天日に干す。,じゅくし,熟柿じゅくし,4314
,叡智,を結集する。,えいち,叡智えいち,4315
,宛然,偉人の如しだ。,えんぜん,宛然えんぜん,4316
配膳の順を,按排,する。,あんばい,按排あんばい,4317
,胤嗣,が誕生する。,いんし,胤嗣いんし,4318
来年は,辛丑,に当たる。,しんちゅう,辛丑しんちゅう,4319
兵が,戟,を構える。,げき,戟げき,4320
,骨董,市で壺を購う。,こっとう,骨董こっとう,4321
返書に,倭語,を用いる。,わご,倭語わご,4322
猫が,蕃殖,する。,はんしょく,蕃殖はんしょく,4323
静養して,爽然,となる。,そうぜん,爽然そうぜん,4324
,樵蘇,を生業とする。,しょうそ,樵蘇しょうそ,4325
早春の,花圃,を愛でる。,かほ,花圃かほ,4326
,戴冠,式が挙行された。,たいかん,戴冠たいかん,4327
,翰藻,に通じる。,かんそう,翰藻かんそう,4328
,戊申,の年に生まれる。,ぼしん,戊申ぼしん,4329
際立って,聡慧,な子だ。,そうけい,聡慧そうけい,4330
,不壊,の信仰をもつ。,ふえ,不壊ふえ,4331
,凄艶,な姿に驚嘆する。,せいえん,凄艶せいえん,4332
,大姦,は忠に似たり。,たいかん,大姦たいかん,4333
,月卿,が参内する。,げっけい,月卿げっけい,4334
,縦容,と応対する。,しょうよう,縦容しょうよう,4335
,青黛,の空を見上げる。,せいたい,青黛せいたい,4336
,尖鋭,な思想に立つ。,せんえい,尖鋭せんえい,4337
外出前に,粉黛,を施す。,ふんたい,粉黛ふんたい,4338
,紙燭,に火を点ける。,しそく,紙燭しそく,4339
,吃緊,の課題を扱う。,きっきん,吃緊きっきん,4340
河水を,堰塞,する。,えんそく,堰塞えんそく,4341
,双頬,に涼風を感じる。,そうきょう,双頬そうきょう,4342
,貝母,を薬に用いる。,ばいも,貝母ばいも,4343
,衿帯,に陣を張る。,きんたい,衿帯きんたい,4344
,碩儒,に助言を求める。,せきじゅ,碩儒せきじゅ,4345
,摯実,な態度で接する。,しじつ,摯実しじつ,4346
,徒爾,に終わる。,とじ,徒爾とじ,4347
,緩頬,を煩わす。,かんきょう,緩頬かんきょう,4348
我先と,潰走,する。,かいそう,潰走かいそう,4349
,膏雨,を待つ。,こうう,膏雨こうう,4350
疑いのない,穎哲,だ。,えいてつ,穎哲えいてつ,4351
,謬説,に惑わされる。,びゅうせつ,謬説びゅうせつ,4352
,鬱勃,たる闘志が湧く。,うつぼつ,鬱勃うつぼつ,4353
乱世に,簸弄,される。,はろう,簸弄はろう,4354
私財を,奪掠,される。,だつりゃく,奪掠だつりゃく,4355
職を退き,幽栖,する。,ゆうせい,幽栖ゆうせい,4356
,神祇,を祭る。,じんぎ,神祇じんぎ,4357
奥地に,草庵,を結ぶ。,そうあん,草庵そうあん,4358
,姻戚,関係を結ぶ。,いんせき,姻戚いんせき,4359
不意の事で,吃驚,する。,きっきょう,吃驚きっきょう,4360
来年は,己酉,に当たる。,きゆう,己酉きゆう,4361
,枕辺,で看病する。,ちんぺん,枕辺ちんぺん,4362
世の,毀誉,を意識する。,きよ,毀誉きよ,4363
,造兵廠,で弾薬を作る。,ぞうへいしょう,造兵廠ぞうへいしょう,4364
陛下より,徽号,を賜る。,きごう,徽号きごう,4365
客車を,聯結,する。,れんけつ,聯結れんけつ,4366
,杢体,を付ける。,もったい,杢体もったい,4367
,己未,の年に卒業する。,きび,己未きび,4368
,圃畦,が乾燥する。,ほけい,圃畦ほけい,4369
,暗碧,の夜空を眺める。,あんぺき,暗碧あんぺき,4370
幼少より,穎異,な子だ。,えいい,穎異えいい,4371
,虞犯,少年を更生する。,ぐはん,虞犯ぐはん,4372
辺境の地で,棲遅,する。,せいち,棲遅せいち,4373
寒冬に,栗栗,とする。,りつりつ,栗栗りつりつ,4374
,鳴禽,の声が響く。,めいきん,鳴禽めいきん,4375
,敏慧,な頭脳をもつ。,びんけい,敏慧びんけい,4376
前戦の兵を,掩護,する。,えんご,掩護えんご,4377
鬱気が,弥漫,する。,びまん,弥漫びまん,4378
経典を,請来,する。,しょうらい,請来しょうらい,4379
,叩門,して中に入る。,こうもん,叩門こうもん,4380
幼子が,嬉戯,する。,きぎ,嬉戯きぎ,4381
,屢次,の災難に遭う。,るじ,屢次るじ,4382
,西戎,が侵入する。,せいじゅう,西戎せいじゅう,4383
,階梯,をかけ上がる。,かいてい,階梯かいてい,4384
,臼歯,で嚙み砕く。,きゅうし,臼歯きゅうし,4385
王から,冊封,を受ける。,さくほう,冊封さくほう,4386
,辰砂,で顔料を作る。,しんしゃ,辰砂しんしゃ,4387
,叡慮,を奉ずる。,えいりょ,叡慮えいりょ,4388
,有卦,に入る。,うけ,有卦うけ,4389
,金無垢,の時計を買う。,きんむく,金無垢きんむく,4390
,閏統,が王位を襲ぐ。,じゅんとう,閏統じゅんとう,4391
,天竺,から伝来する。,てんじく,天竺てんじく,4392
,寸隙,を割いて鍛える。,すんげき,寸隙すんげき,4393
,淵藪,として栄える。,えんそう,淵藪えんそう,4394
,甘藷,で地酒を造る。,かんしょ,甘藷かんしょ,4395
,稗官,に甘んじる。,はいかん,稗官はいかん,4396
,稀有,な事故が起こる。,けう,稀有けう,4397
,垢衣,を脱ぐ。,こうい,垢衣こうい,4398
,筆翰,流るるが如し。,ひっかん,筆翰ひっかん,4399
,帥先,して実践する。,そっせん,帥先そっせん,4400
,小隙,を埋める。,しょうげき,小隙しょうげき,4401
,寵辱,を繰り返す。,ちょうじょく,寵辱ちょうじょく,4402
都を離れ,隠栖,する。,いんせい,隠栖いんせい,4403
好んで,禽鳥,を描く。,きんちょう,禽鳥きんちょう,4404
,頃来,多忙を極める。,けいらい,頃来けいらい,4405
,甜瓜,が成熟する。,てんか,甜瓜てんか,4406
隣地を,奄有,する。,えんゆう,奄有えんゆう,4407
,斯学,の権威となす。,しがく,斯学しがく,4408
,聾啞,者に配慮する。,ろうあ,聾啞ろうあ,4409
,肌膚,に膏薬を貼る。,きふ,肌膚きふ,4410
,姦計,を巡らす。,かんけい,姦計かんけい,4411
,飛箭,が降り注ぐ。,ひせん,飛箭ひせん,4412
,斧斤,で薪を割る。,ふきん,斧斤ふきん,4413
,捷報,に歓喜する。,しょうほう,捷報しょうほう,4414
,慧悟,で勇敢な家臣だ。,けいご,慧悟けいご,4415
我が境涯を,慨歎,する。,がいたん,慨歎がいたん,4416
そう海の,一粟,。,いちぞく,一粟いちぞく,4417
皆の提案を,綜合,する。,そうごう,綜合そうごう,4418
,轟然,たる砲声が響く。,ごうぜん,轟然ごうぜん,4419
勅語を,捧読,する。,ほうどく,捧読ほうどく,4420
,塁砦,を構築する。,るいさい,塁砦るいさい,4421
他説を,論駁,する。,ろんばく,論駁ろんばく,4422
,雛孫,が子猫と戯れる。,すうそん,雛孫すうそん,4423
,山麓,に草原が広がる。,さんろく,山麓さんろく,4424
,溝渠,を張り巡らす。,こうきょ,溝渠こうきょ,4425
山中に鹿が,群棲,する。,ぐんせい,群棲ぐんせい,4426
酒席に,舞妓,を呼ぶ。,ぶぎ,舞妓ぶぎ,4427
弾が,戎衣,を貫く。,じゅうい,戎衣じゅうい,4428
,叔姪,婚を禁じる。,しゅくてつ,叔姪しゅくてつ,4429
,仁恕,の心で接する。,じんじょ,仁恕じんじょ,4430
,薪柴,を集める。,しんさい,薪柴しんさい,4431
,翠微,を眺める。,すいび,翠微すいび,4432
,縄矩,を定める。,じょうく,縄矩じょうく,4433
,冥加,に尽きる。,みょうが,冥加みょうが,4434
,乙巳,の変が起こる。,いっし,乙巳いっし,4435
この,界隈,では評判だ。,かいわい,界隈かいわい,4436
荷物に,符牒,を付ける。,ふちょう,符牒ふちょう,4437
,妬心,を覚える。,としん,妬心としん,4438
突如,瑞雲,が現れる。,ずいうん,瑞雲ずいうん,4439
,弁疏,の余地がない。,べんそ,弁疏べんそ,4440
罪人に,訊鞠,を加える。,じんきく,訊鞠じんきく,4441
,羅紗,の帽子を被る。,らしゃ,羅紗らしゃ,4442
公徳を,砥礪,する。,しれい,砥礪しれい,4443
,管窺,を自覚する。,かんき,管窺かんき,4444
複数の地を,汎称,する。,はんしょう,汎称はんしょう,4445
,梓匠,を雇う。,ししょう,梓匠ししょう,4446
,青翠,の大海が広がる。,せいすい,青翠せいすい,4447
,董狐,の筆。,とうこ,董狐とうこ,4448
,杜撰,な計画を見直す。,ずさん,杜撰ずさん,4449
,籠城,作戦を敢行する。,ろうじょう,籠城ろうじょう,4450
,葡萄,を発酵させる。,ぶどう,葡萄ぶどう,4451
,欽羨,の念を抱く。,きんせん,欽羨きんせん,4452
,戊寅,の年に生まれる。,ぼいん,戊寅ぼいん,4453
適宜,傭役,する。,ようえき,傭役ようえき,4454
灌木が,暢茂,する。,ちょうも,暢茂ちょうも,4455
娘の,弄瓦,を祝す。,ろうが,弄瓦ろうが,4456
,拳骨,を振り上げる。,げんこつ,拳骨げんこつ,4457
自陣に,鹿砦,を設ける。,ろくさい,鹿砦ろくさい,4458
,雲梯,で腕力を鍛える。,うんてい,雲梯うんてい,4459
罪人を,庇蔭,する。,ひいん,庇蔭ひいん,4460
,舟筏,で対岸に渡る。,しゅうばつ,舟筏しゅうばつ,4461
浄土を,欣求,する。,ごんぐ,欣求ごんぐ,4462
宿場町に,茅舎,が並ぶ。,ぼうしゃ,茅舎ぼうしゃ,4463
田に,畦畔,を作る。,けいはん,畦畔けいはん,4464
空高く,糸鳶,をあげる。,しえん,糸鳶しえん,4465
腕を,撫,して待つ。,ぶ,撫ぶ,4466
,牒状,を送る。,ちょうじょう,牒状ちょうじょう,4467
,卦体,が悪い。,けたい,卦体けたい,4468
,袈裟,と衣は心に着よ。,けさ,袈裟けさ,4469
,枇杷,の実を収穫する。,びわ,枇杷びわ,4470
戦略に,知嚢,を絞る。,ちのう,知嚢ちのう,4471
,長袖,の上着を着る。,ちょうしゅう,長袖ちょうしゅう,4472
,檮昧,を以て至福とす。,とうまい,檮昧とうまい,4473
,英彦,として尊ばれる。,えいげん,英彦えいげん,4474
,障碍,を乗り越える。,しょうがい,障碍しょうがい,4475
,占卜,で政事を行う。,せんぼく,占卜せんぼく,4476
片田舎に,逼塞,する。,ひっそく,逼塞ひっそく,4477
容赦なく,詮議,する。,せんぎ,詮議せんぎ,4478
名器を,賞翫,する。,しょうがん,賞翫しょうがん,4479
御,諒察,下さい。,りょうさつ,諒察りょうさつ,4480
,火箭,を打ち上げる。,かせん,火箭かせん,4481
,畏怖,の念を抱く。,いふ,畏怖いふ,4482
,些末,な事にこだわる。,さまつ,些末さまつ,4483
闇に紛れて,掩撃,する。,えんげき,掩撃えんげき,4484
,薬圃,から薬草を摘む。,やくほ,薬圃やくほ,4485
